radio,tiempo,integridad,sd
radio 10,1990,0.427269809979798,0.126284030457102
radio 10,2000,0.39594286268595,0.130449655467918
radio 10,2010,0.348381852847534,0.121013267146019
radio 10,2020,0.334239477527344,0.120974277051402
radio 18,1990,0.359016526949495,0.101852152372733
radio 18,2000,0.333510000743802,0.105577556627894
radio 18,2010,0.317153363419283,0.102636103706277
radio 18,2020,0.306860304692969,0.104534551515655
radio 2,1990,0.63299843610101,0.183708538709319
radio 2,2000,0.58802251546281,0.189473037528295
radio 2,2010,0.512564651878924,0.181364883078902
radio 2,2020,0.491731128133594,0.18179489155137
radio 26.5,1990,0.339828167727273,0.0920042254467663
radio 26.5,2000,0.316630641644628,0.0958743131963753
radio 26.5,2010,0.310282891544843,0.0984284474279885
radio 26.5,2020,0.302070332753906,0.102121432612975
